# Molecule full_3527
# Energies (kcal/mol) for conformers matched to first method.
# Energies are relative to conformer 39.
# Rows represent conformers; columns represent methods.

# 1 B3LYP-D3BJ/DZVP
# 2 GAFF
# 3 GAFF2
# 4 MMFF94
# 5 MMFF94S
# 6 Parsley
# 7 Smirnoff99Frosst

# RMS errors by method, with respect to the first method listed:
# 	0.0000	2.8519	4.8611	2.9541	2.9541	1.6903	3.4908

# 		1		2		3		4		5		6		7
0	5.6440	0.5296	0.4195	0.0607	0.0607	3.4033	3.7073
1	7.1255	1.3885	-0.7952	1.6423	1.6423	4.2304	0.5009
2	4.7547	4.8603	3.1241	2.2647	2.2647	3.1747	3.9088
3	4.4078	5.5609	0.6576	3.3575	3.3575	3.4953	4.0982
4	7.9123	10.5243	0.2947	9.6866	9.6866	7.5094	8.9952
5	7.2560	6.0353	3.4035	5.7217	5.7217	6.2046	4.8401
6	2.5794	1.1889	2.7854	1.3745	1.3745	2.8699	0.0246
7	7.2556	6.0353	3.4035	5.7217	5.7217	6.2046	4.8401
8	6.4315	1.7416	-1.0745	1.0840	1.0840	5.2902	0.8370
9	6.9131	5.8107	5.4503	1.0839	1.0839	5.2900	3.8032
10	5.4039	0.3137	-0.0461	nan	nan	4.4203	-1.4400
11	5.4722	4.7070	4.9242	2.5562	2.5562	3.7733	3.0523
12	7.7792	6.6603	3.2883	9.6710	9.6710	7.6093	5.2115
13	4.7398	5.6991	7.1187	5.5260	5.5260	6.0019	4.2091
14	5.7296	3.9845	nan	9.0897	9.0897	4.8690	1.5539
15	7.6595	6.8318	6.7166	9.1455	9.1455	nan	4.0201
16	2.5691	3.4723	3.2022	4.2430	4.2430	1.1350	1.6475
17	5.9490	8.4583	8.7000	6.0911	6.0911	6.3623	nan
18	4.6623	5.0570	nan	3.8880	3.8880	3.1214	2.6498
19	8.4594	5.0570	3.6306	5.6479	5.6479	6.7395	1.6152
20	7.1256	1.3885	-0.7951	1.6409	1.6409	4.2301	0.5015
21	5.6441	0.5296	0.4198	0.0611	0.0611	3.4034	3.7070
22	3.7675	4.8603	0.5149	2.2647	2.2647	1.2674	3.9088
23	0.6755	1.1027	-1.9614	1.1454	1.1454	-0.0413	0.0000
24	7.3719	5.4994	-1.2342	3.3575	3.3575	5.3364	4.0982
25	3.3493	4.7618	nan	5.3459	5.3459	4.7154	2.6895
26	8.7705	10.1575	0.8516	9.8496	9.8496	8.1676	8.3728
27	6.4320	1.7409	-1.0753	1.0839	1.0839	5.2900	0.8381
28	6.9130	5.8107	5.4502	5.7766	5.7766	5.2902	3.8026
29	6.4454	0.0421	0.0350	9.0897	9.0897	4.9618	-1.4402
30	6.3434	5.1431	4.8144	nan	nan	3.2606	2.7724
31	4.4082	5.5610	0.6576	3.3585	3.3585	3.4953	4.0982
32	2.3104	4.3824	3.2012	5.1601	5.1601	1.8275	2.4092
33	5.2580	5.9040	4.9250	3.6987	3.6987	4.9110	4.0322
34	4.4172	6.1435	-1.9614	4.5463	4.5463	5.0227	4.8001
35	7.8014	3.3704	4.9242	8.5341	8.5341	3.7733	6.9508
36	5.9477	8.4582	8.6999	6.0911	6.0911	6.3625	nan
37	9.3059	9.1953	0.6345	nan	nan	8.3890	6.2769
38	4.9633	3.5159	0.8715	3.5160	3.5160	1.6925	1.3432
39	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
